"regulatoryGene","targetGene","weight"
"IL17A","IL17RA",0.322008055273475
"IL17RA","IL17A",0.283669015131738
"FAS","CASP8",0.251722854604797
"CASP8","FAS",0.24668021682025
"GIMAP8","GIMAP5",0.240384092675688
"SLC9A3R1","ADRB2",0.235725109072563
"GIMAP5","GIMAP8",0.222829474266123
"VCL","ACTN1",0.210572262092281
"CD5","CD4",0.186091924349679
"ADRB2","SLC9A3R1",0.184547915337974
"KLRD1","KLRF1",0.176302580869957
"MYC","USP28",0.173307890146217
"ITGA4","ITGB1",0.168454214987292
"FOXP3","FOXP1",0.16249937649574
"ITGB2","ITGAM",0.158563372792502
"USP28","MYC",0.157686716578468
"VCL","PXN",0.153579882311457
"ITGB2","FLNA",0.152431546877333
"ITGB1","ITGA4",0.15206439887482
"FOXP1","FOXP3",0.150038950273784
"FLNA","ITGB2",0.147659945971162
"CD4","CD5",0.139681824176924
"KLRF1","KLRD1",0.138653822819475
"ACTN1","VCL",0.137674410202724
"CD5","CCR7",0.130942406502169
"RACK1","PRKCB",0.128674676899863
"PXN","VCL",0.127631734821804
"FLNA","GP1BA",0.121543923571816
"CD3E","CD3G",0.111772368750127
"RPS5","NPM1",0.107025301500385
"IL2RB","IL2RA",0.106833810444895
"CD2","CD6",0.106831531474284
"PXN","ITGA4",0.10374382042236
"ITGAM","ITGB2",0.101677303548633
"ITGA4","PXN",0.101432634040437
"CCR7","CD5",0.0995188628818533
"PRKCB","RACK1",0.0967835247492581
"GP1BA","FLNA",0.0954343512881236
"RACK1","EIF3L",0.0935558181155278
"CD2","CD3D",0.0934268970874858
"CD3G","CD3E",0.0908186969953192
"CD2","KLRB1",0.0883629367466271
"RSL1D1","NOP53",0.0881064537292423
"GZMB","ZNF683",0.0854898728235516
"EIF3L","RACK1",0.0828972629384726
"RSL1D1","WDR43",0.0780378698968635
"CD3D","CD2",0.0775297933771544
"EIF3L","EIF3E",0.0760582491483508
"IL2RA","IL2RB",0.0757554465467371
"GZMK","KLRB1",0.075381611180022
"RPS8","WDR43",0.0736094207799473
"EIF3E","EIF3L",0.0715849253754148
"NKG7","GZMB",0.0703912664984695
"KLRB1","GZMK",0.0702888226384385
"GZMB","IL2RB",0.0700818318723856
"RPS8","EEF1B2",0.0666167830564186
"CD6","CD2",0.0658001986091595
"NPM1","RPS5",0.0655411523692822
"GZMB","NKG7",0.0651354774243656
"NOP53","RSL1D1",0.0638699463100302
"RPS5","WDR43",0.0634509724674464
"CD2","CD3E",0.0633760915126219
"IL2RB","GZMB",0.0632449819833291
"RACK1","EIF3E",0.0625650916231008
"GZMH","FGFBP2",0.0608301858021869
"KLRB1","CD2",0.0601562291239905
"RPS8","RSL1D1",0.0599566470123572
"EEF1B2","EEF2",0.0595740087047445
"GZMH","ZNF683",0.057408304874732
"WDR43","RPS5",0.0571451198329744
"PRF1","IL2RB",0.0564899277555967
"CD5","CD6",0.0564429377057822
"WDR43","RSL1D1",0.0563424013350891
"CD8A","CD8B",0.0562953850532832
"RPS5","EEF2",0.0559031094791431
"EEF2","RPS8",0.0549501002377202
"EEF2","EEF1B2",0.0543372963610507
"RPS8","EEF2",0.0535994048511419
"RPS5","RSL1D1",0.0532099173047427
"CD2","GZMK",0.0529543584270492
"GZMH","GZMB",0.0524017227218928
"CD8B","CD8A",0.0514319631344914
"EEF1B2","RPS8",0.0511310366391296
"RSL1D1","RPS8",0.0511164610625687
"GZMH","GNLY",0.0503244853276861
"CD3E","CD2",0.0502931050116673
"GZMK","CD3D",0.0501107338607448
"FLNA","ITGB1",0.050081639428871
"GZMH","PRF1",0.0494884526035709
"CD3D","GZMK",0.0492686891247546
"IL2RB","PRF1",0.0491124197921817
"RACK1","RPS8",0.0485557866712952
"GNLY","PRF1",0.0482986504286206
"RSL1D1","FOXP1",0.0480331399399636
"EIF3E","RACK1",0.047709997345755
"RPS8","EIF3L",0.0475834075048362
"CD3D","CD3G",0.0475555374175021
"RPS5","EEF1B2",0.047530585287805
"CD3E","ITGB2",0.0471457469953608
"GZMB","GZMH",0.0469542890180751
"EIF3E","FGFBP2",0.0466388220581844
"CD3E","CD3D",0.0462852484145627
"PRF1","GNLY",0.0460548427765761
"FLNA","ITGAM",0.0458993001848889
"CD5","CD3E",0.0458231190880838
"EEF2","RPS5",0.0451540078335814
"CD6","CD5",0.0449896891287788
"CD8A","NKG7",0.0449180639506881
"GNLY","KLRD1",0.044714405333592
"RSL1D1","RPS5",0.0442754565336693
"ITGB1","FLNA",0.0441273721676884
"CD3E","CD5",0.043513351797783
"KLRD1","GNLY",0.0430944366327135
"CD3G","CD3D",0.042517400025307
"RACK1","EEF2",0.0424965453087212
"RPS8","EIF3E",0.0418181966069265
"RPS5","VCL",0.0415920186601598
"NKG7","CD8A",0.040758921958735
"CD3D","CD3E",0.040474819869292
"PRF1","GZMH",0.0399259160111337
