"regulatoryGene","targetGene","weight"
"VCL","ACTN1",0.180433113544454
"EMP3","LGALS1",0.175886693216919
"LGALS1","EMP3",0.175568643090003
"ACTN1","VCL",0.165838792498571
"BTLA","CD19",0.121923951255606
"CD19","BTLA",0.111832096561186
"TIGIT","FCRL3",0.105880120073967
"VCL","FLNA",0.102877697981131
"GPR183","CD69",0.102418037443541
"CD69","GPR183",0.102350779517558
"FCRL3","TIGIT",0.0964878164386503
"RSL1D1","NPM1",0.0895730623992328
"FLNA","VCL",0.0892653657318289
"NPM1","RSL1D1",0.0808370479614835
"RPS5","APEX1",0.0748625432210748
"APEX1","RPS5",0.0641467284450371
"CD5","CD28",0.0624841361915322
"CD19","FCMR",0.061394439402153
"PTPRC","MYO1G",0.0582642888938024
"IFNG","TBX21",0.0577337836916313
"TBX21","IFNG",0.0571028367304397
"CD14","AIF1",0.0567908888794601
"FCMR","CD19",0.0563179381449394
"CD28","CD5",0.0558749594187459
"ITGB2","SELPLG",0.0549019562330799
"MYO1G","PTPRC",0.0528450998194319
"S1PR5","FGFBP2",0.0515202758520025
"CD300A","ITGAM",0.0514748624706017
"AIF1","CD14",0.050542587203792
"CCR7","IL2RA",0.049389637705997
"EEF1B2","TOMM7",0.0485905213921685
"NPM1","EEF1B2",0.0479188356796464
"SELPLG","ITGB2",0.0460457236892056
"EEF2","EEF1B2",0.044645968473136
"ITGAM","CD300A",0.0446334110969877
"FGFBP2","S1PR5",0.0438132642736331
"IL2RA","CCR7",0.0435028783399045
"EEF1B2","EEF2",0.0429575429529635
"EEF1B2","NPM1",0.0429274413422829
"CD8A","ZNF683",0.0415556284042456
"PLEK","BIN2",0.0408316686367208
"ZNF683","CD8A",0.0404852975879258
"ITGB2","CD300A",0.0392982150882355
"TOMM7","EEF1B2",0.0386647606386018
"PTPRC","SELL",0.0370146584654547
"PLEK","GPR183",0.0369433009510638
"CCR7","IL7R",0.0364044615394135
"GPR183","PLEK",0.0361964513576272
"CD3E","CD4",0.0361155238366881
"CCR7","FCMR",0.035918923432365
"NOP53","EIF3L",0.034895748670698
"IL2RB","GZMB",0.0341402491662105
"BIN2","PLEK",0.0336309959496158
"SELL","PTPRC",0.033401389163639
"CD5","CD6",0.033385438630496
"CD14","MYO1F",0.0330961120433974
"IFNG","CTLA4",0.0330930103504402
"RPS8","RACK1",0.0327853248976023
"CD300A","ITGB2",0.0326975352997212
"IL7R","CCR7",0.0323913458954322
"RACK1","RPS8",0.0320544704517007
"AIF1","CD52",0.0319210358226646
"ITGAM","MYO1F",0.0315671496886178
"EIF3L","NOP53",0.0315395967216584
"NPM1","RACK1",0.0314174045603646
"CD8B","CD3E",0.0312961528554631
"RSL1D1","NOP53",0.0308801249325546
"MYO1F","ITGAM",0.029975873407099
"CD69","GIMAP5",0.0298887427116531
"PTPRC","BIN2",0.0297749719152985
"CD6","CD5",0.0297711624338284
"RACK1","NPM1",0.0297397936032119
"NKG7","IFNG",0.029309375673538
"CD52","AIF1",0.0292545059808138
"CD3E","CD8B",0.0292047675045366
"CCR7","LTB",0.029120889758121
"MYO1F","CD14",0.0290679190915201
"EEF2","NOP53",0.0289556651901862
"CD8A","CD3D",0.0287352691697865
"GZMB","IL2RB",0.028709555570577
"FGR","ARHGAP25",0.0285197409601279
"CD8B","CD3G",0.0284526176012287
"CD6","LTB",0.0277728539649298
"GZMH","GIMAP5",0.0276543707147504
"CD3D","ZNF683",0.0271673839685249
"NOP53","RSL1D1",0.0269693731627888
"IFNG","NKG7",0.026936464289934
"CCR7","TIGIT",0.0269204016058109
"AIF1","ITGB2",0.0267914118086693
"CD27","GZMK",0.0267181133817751
"RACK1","EIF3L",0.0266659428889655
"CD2","CD52",0.0265708098169973
"CD4","CD3E",0.026478139430058
"PRF1","SAMD3",0.0262294056001194
"PTPRC","ARHGAP25",0.0261078309284032
"TOMM7","ZNF683",0.025942191387672
"CD27","CD3D",0.0259017353033263
"RPS8","EMP3",0.0258659601841087
"GNLY","GZMB",0.0257106771235899
"NOP53","EEF2",0.0256303879692256
"CD3G","CD28",0.0256274128203683
"RPS8","EEF2",0.0255958145516113
"FCMR","CCR7",0.0255786061728964
"ARHGAP25","FGR",0.025417594339863
"CD3G","CD8B",0.0253146464516806
"CD52","CD2",0.0252913587914021
"IL7R","FCGR3B",0.0251629222569923
"ITGB2","PTPRC",0.0251098341420747
"AIF1","FLNA",0.0250027921261637
"ITGAM","FGR",0.024976020101166
"CCR7","CD27",0.0249422929937657
"CD2","IL7R",0.024760759850446
"FGR","ITGAM",0.0247583010205886
"CD5","CD3D",0.0244820182732888
"GNLY","GZMK",0.0242910320894667
"NOP53","GIMAP5",0.0242717665558876
"LTB","CD6",0.0242212118359613
"ITGAM","FCMR",0.0242018802516249
"FGFBP2","CD6",0.0241094388470293
"EIF3L","RPS5",0.0240545202990288
"EEF2","RPS8",0.0240267020269337
"CD5","IL2RB",0.0239681406915559
"CD6","CD28",0.0239350677332314
"PTPRC","IL2RA",0.0239097326846376
"EEF2","EIF3L",0.023861344177112
"LTB","CCR7",0.0238482539978805
"CD3D","CD27",0.0236813275754899
"RPS8","CTLA4",0.0236465052197266
"GZMH","GPR183",0.0235569931543421
"CD3D","CD8A",0.0235219893267879
"ITGAM","SELPLG",0.0235166818761246
"RPS5","EIF3L",0.0235110609589533
"CD6","SELPLG",0.023242815501346
"CD8A","NKG7",0.0231844027421873
"CTLA4","IFNG",0.0231831555001818
"CCR7","CD19",0.023047261337627
"RPS5","CD14",0.0230393226970012
"PRF1","FCGR3B",0.0229923799250521
"CD5","CD3G",0.0229410802289896
"CD300A","PLEK",0.0229147123296862
"CD27","CCR7",0.0228952759641959
"CD2","CD27",0.0228426705128241
"GNLY","PRF1",0.0227870348216172
"CD5","SAMD3",0.0227775284712166
"CD19","CCR7",0.022772399586854
"ITGB2","IL17RA",0.0227324335784561
"ARHGAP25","PTPRC",0.0226456867830213
"SELPLG","SELL",0.0225694209644992
"ITGB2","AIF1",0.0225338922815599
"EIF3L","EEF2",0.022386607420522
"NKG7","IL17RA",0.02238290239857
"TBX21","GZMB",0.0223646345254933
"CD28","CD6",0.022343987791126
"GZMB","PRF1",0.0222907239340067
"RPS8","EEF1B2",0.0222623116393765
"EEF1B2","RPS8",0.0222410459652907
"CD3D","CD28",0.0221972089561843
"GNLY","SELL",0.0221825941210801
"PRF1","GNLY",0.0221552164067477
"GNLY","GZMH",0.0221508682005052
"CD3E","CD300A",0.0221015191915534
"FGR","ITGB2",0.0220417633759541
"CD3G","CD27",0.0220308406735732
"PRF1","FGFBP2",0.0219556618949891
"BIN2","PTPRC",0.0219365461969111
"CD3E","CD6",0.0219053313297083
"GZMB","GNLY",0.021849205586352
"IL2RB","GNLY",0.0218263593606583
"GZMH","SAMD3",0.0217213663519659
"SAMD3","PRF1",0.0216923553299811
"FGR","CD14",0.0216734686066734
"GZMB","CD2",0.0216451405450253
"EIF3L","EMP3",0.0216174573485791
"CD300A","FGR",0.0215986152522763
"GZMK","CD27",0.0215912922537433
"GZMK","SAMD3",0.0215852040449763
"CD2","GZMB",0.0215831374698373
"CD28","CD3D",0.0215456556298525
"RPS8","EIF3L",0.0215228175446458
"CD2","CD69",0.0215170483657655
"IL2RB","SAMD3",0.0214722205213651
"CD14","FGR",0.0213898029832572
"IL2RB","ZNF683",0.0213502791450932
"NOP53","IL17RA",0.0213246228361997
"CD3E","MYO1F",0.021301530372813
"GZMH","ZNF683",0.0212739057115609
"GZMB","TBX21",0.0212567046739192
"CD6","CTLA4",0.0212387660134023
"PRF1","CD300A",0.0212361075794038
"ITGB2","CD14",0.0212151455346024
"EIF3L","RACK1",0.0211909639241923
"IL2RB","TBX21",0.0211796234668887
"RACK1","NOP53",0.0211684758123459
"CD2","GIMAP5",0.0211675669576156
"TBX21","FLNA",0.0210889041072825
"CD3G","CD5",0.0210692078870089
"SAMD3","GZMH",0.0210158488605406
"ZNF683","SELL",0.0209451729774373
"CD6","CD3E",0.0209446134045812
"CD52","CD69",0.0208771182058748
"MYO1F","CD3E",0.0208762899037682
"SAMD3","IL2RB",0.0208610379082477
"CD3D","SELL",0.0208270996593938
"GZMK","TIGIT",0.0208044740162451
"CD8A","GNLY",0.0207749218635535
"NKG7","CD8A",0.0207723652769492
"GZMH","NKG7",0.0207486966471802
"ITGAM","ITGB2",0.0207345233510976
"CD6","PRF1",0.0206931883014619
"CD28","CD3G",0.0206781650721799
"PRF1","S1PR5",0.0206760862878761
"PLEK","ITGAM",0.0206553903228035
"FLNA","AIF1",0.0206488801216638
"SAMD3","CD3G",0.0205704126876212
"IL7R","CD2",0.0205665084527055
"GZMH","S1PR5",0.0205601845337028
"ITGAM","PLEK",0.0205249731141165
"NOP53","RACK1",0.020486410027374
"SAMD3","GZMK",0.0204601780726534
"ZNF683","CD8B",0.020432412785245
"EEF1B2","SELL",0.0203924040810936
"SAMD3","KLRB1",0.0203565291634446
"CD69","CD52",0.0203355723461681
"FGR","FCGR3B",0.0202951931949936
"GNLY","IL2RB",0.0202915442138898
"EEF1B2","RACK1",0.0202670261667251
"ITGB2","FGR",0.0202303441719228
"CD6","CD27",0.0202261088523376
"CD3G","NKG7",0.0202140927885628
"EEF2","RACK1",0.0201821919024182
"RPS5","EEF2",0.0201771603511626
"EIF3L","SELL",0.0201617941588066
"CD8B","ZNF683",0.0201285971685569
"ARHGAP25","GIMAP5",0.020098807241615
"GZMH","IL2RB",0.0200872553389141
"NKG7","TBX21",0.0200707895850771
"FGFBP2","PRF1",0.0200360440272631
"FGR","CD300A",0.0200291239910166
"IL2RB","MYO1G",0.0200007621852429
"GZMH","GNLY",0.0199912302676765
"S1PR5","PRF1",0.0199844049614882
"RPS5","RPS8",0.0199495213212249
"CD14","CD28",0.0199475663582464
"GZMK","IL7R",0.0199339431043234
"CD52","PLEK",0.0199164808396838
"TIGIT","GZMK",0.0198618579592
"ITGB2","MYO1F",0.0198395508304459
"GZMK","CD6",0.0198363746212868
"CD28","MYO1G",0.0198037667892362
"NKG7","GZMH",0.0197997635073282
"LTB","BTLA",0.0197968380208522
"SAMD3","FCGR3B",0.0197749893427753
"BTLA","CD27",0.0197748030525662
"CD3E","EMP3",0.0197719778559275
"RPS8","RPS5",0.0197641620489402
"PTPRC","FCGR3B",0.0197575797252873
"CD8A","GZMK",0.0197390903561656
"CD3E","RPS8",0.0197368974622147
"RPS5","NOP53",0.0197169169876127
"IFNG","IL2RB",0.0196990177037636
"IL7R","BIN2",0.0196725460829317
"IL7R","NPM1",0.0196660820638478
"CD2","RSL1D1",0.0196567517869678
"CD5","GPR183",0.0196064130924144
"IL2RB","CD6",0.0195900650740085
"TBX21","KLRB1",0.0195870295610301
"IL2RB","BIN2",0.0195760265339538
"FGR","MYO1F",0.0195732302271545
"EEF2","RPS5",0.0195452152001271
"KLRB1","SELPLG",0.0195274863147276
"PLEK","CTLA4",0.0195200982728675
"PTPRC","EIF3L",0.0194891445794076
"CD3E","CD52",0.0194877667936744
"GNLY","CD27",0.0194783953540278
"CD8A","KLRB1",0.0194672763905003
"CD27","CD6",0.0194656381669674
"CD2","GZMK",0.0194462236418768
