Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	k	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	369	151402	360	1050	0.260042283298097	0.00237213531714131	0.506172839506173	0.343575418994413	0.358679452354108	JRF	5.54	554	4	1133.385	18.88975	0.314829166666667
union	681	148035	3727	738	0.479915433403805	0.0245581897971824	0.154491833030853	0.233739488587609	0.260940875181661	JRF	5.54	554	4	1133.385	18.88975	0.314829166666667
inet	463	150968	794	956	0.326286116983791	0.00523187622725056	0.368337311058075	0.346038863976084	0.340933986879346	JRF	5.54	554	4	1133.385	18.88975	0.314829166666667
early	709	148359	3403	710	0.499647639182523	0.0224232680117552	0.172422178988327	0.256373169408787	0.282862327564982	GRNBoost2	5.54	554	4	10.7939999999999	0.179899999999998	0.0029983333333333
vote	32	151760	2	1387	0.0225510923185342	1.3178529539674e-05	0.941176470588235	0.0440467997247075	0.144941491566523	GRNBoost2	5.54	554	4	14.4760000000006	0.241266666666676	0.00402111111111127
union	648	142848	8914	771	0.456659619450317	0.0587367061583269	0.0677682493202259	0.11802203806575	0.157576462636648	GRNBoost2	5.54	554	4	14.4760000000006	0.241266666666676	0.00402111111111127
inet	531	147927	3835	888	0.374207188160677	0.0252698303923248	0.121621621621622	0.183578219533276	0.200888449365115	GRNBoost2	5.54	554	4	14.4760000000006	0.241266666666676	0.00402111111111127
early	662	149979	1783	757	0.466525722339676	0.0117486590846193	0.270756646216769	0.342650103519669	0.347634881050049	GENIE3	5.54	554	4	184.184000000001	3.06973333333335	0.0511622222222225
vote	31	151761	1	1388	0.02184637068358	6.58926476983698e-06	0.96875	0.0427291523087526	0.144773453357337	GENIE3	5.54	554	4	103.117	1.71861666666667	0.0286436111111112
union	645	145373	6389	774	0.454545454545455	0.0420988126144885	0.0916974694341769	0.152608541346268	0.188774946531968	GENIE3	5.54	554	4	103.117	1.71861666666667	0.0286436111111112
inet	636	145670	6092	783	0.448202959830867	0.0401418009778469	0.0945303210463734	0.156131091199214	0.190768141778042	GENIE3	5.54	554	4	103.117	1.71861666666667	0.0286436111111112
