Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	822	150585	1177	597	0.579281183932347	0.00775556463409813	0.411205602801401	0.480983031012288	0.482449633754829	JRF	1.108	554	6040.336	100.672266666667	1.67787111111111
union	1020	149196	2566	399	0.718816067653277	0.0169080533994017	0.284439486893475	0.407592407592408	0.444722638676836	JRF	1.108	554	6040.336	100.672266666667	1.67787111111111
inet	710	150659	1103	709	0.500352360817477	0.00726795904113019	0.39161610590182	0.439356435643564	0.436795388126593	JRF	1.108	554	6040.336	100.672266666667	1.67787111111111
early	1334	143713	8049	85	0.940098661028894	0.0530369921324179	0.14217201321539	0.246991297907795	0.354388198136387	GRNBoost2	1.108	554	43.8249999999998	0.730416666666664	0.0121736111111111
vote	962	150987	775	457	0.677942212825934	0.00510668019662366	0.553828439838802	0.609632446134347	0.608773433482139	GRNBoost2	1.108	554	32.8220000000001	0.547033333333335	0.00911722222222225
union	1314	139271	12491	105	0.92600422832981	0.0823065062400337	0.0951829047446577	0.172622175512349	0.282258735268547	GRNBoost2	1.108	554	32.8220000000001	0.547033333333335	0.00911722222222225
inet	1219	147103	4659	200	0.859055673009161	0.0306993845626705	0.207383463763185	0.334109908181444	0.413113421741336	GRNBoost2	1.108	554	32.8220000000001	0.547033333333335	0.00911722222222225
early	1273	149459	2303	146	0.897110641296688	0.0151750767649346	0.355984340044743	0.50970970970971	0.559548537797933	GENIE3	1.108	554	987.336	16.4556	0.27426
vote	914	151470	292	505	0.644115574348132	0.0019240653127924	0.75787728026534	0.696380952380952	0.696109478824315	GENIE3	1.108	554	687.521	11.4586833333333	0.190978055555556
union	1246	146474	5288	173	0.878083157152925	0.034844032102898	0.190694827058463	0.31334087765623	0.399758135443645	GENIE3	1.108	554	687.521	11.4586833333333	0.190978055555556
inet	1173	147730	4032	246	0.826638477801269	0.0265679155519827	0.22536023054755	0.354166666666667	0.423053216110377	GENIE3	1.108	554	687.521	11.4586833333333	0.190978055555556
