Method	Predicted_Matrix	TP_mean	TP_sd	TN_mean	TN_sd	FP_mean	FP_sd	FN_mean	FN_sd	TPR_mean	TPR_sd	FPR_mean	FPR_sd	Precision_mean	Precision_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Ratio_mean	Ratio_sd	p_mean	p_sd	VI_mean	VI_sd	NMI_mean	NMI_sd	ARI_mean	ARI_sd	Modularity_mean	Modularity_sd	Communities_mean	Communities_sd	Density_mean	Density_sd	Transitivity_mean	Transitivity_sd	Time_in_Seconds_mean	Time_in_Seconds_sd	Time_in_Minutes_mean	Time_in_Minutes_sd	Time_in_Hours_mean	Time_in_Hours_sd
GENIE3	early	40.6	3.50713558335004	3196.4	2.70185121722126	30.6	2.70185121722126	53.4	3.50713558335004	0.431914893617021	0.0373099530143621	0.00948249147815308	0.00083726408962543	0.570228825398346	0.0115799711589625	0.490842072119989	0.0256570925977508	0.483346595060973	0.0232432788806543	0.82	0	82	0	1.72915777148327	0.0712101942117511	0.691466076343317	0.010052854198568	0.24068023468238	0.0400281479907945	0.899599122980421	0.027751224821168	0.895238095238095	0.0782460796435951	0.757446808510638	0.0635632733884666	0.119380524256934	0.0283836383385293	8.81899999999998	0.269225741711249	0.146983333333333	0.00448709569518748	0.00244972222222222	7.47849282531248e-05
GENIE3	inet	43.8	0.447213595499958	3140.4	2.60768096208106	86.6	2.60768096208106	50.2	0.447213595499958	0.465957446808511	0.00475759144148892	0.0268360706538581	0.000808082107865218	0.335976892096295	0.00513310290690856	0.390393763975506	0.00287416950302564	0.374982945484413	0.00269546852152645	0.82	0	82	0	2.34817578281985	0.0778430137243233	0.521643640490639	0.0127102331612846	0.14327446318131	0.0154308350877951	0.63213430933859	0.0160843290927101	0.428571428571429	0.0336717514850737	0.612765957446808	0.0315582914344496	0.0994976728618622	0.0106261141853409	5.85620000000004	0.254758120577161	0.097603333333334	0.00424596867628602	0.00162672222222223	7.07661446047671e-05
GENIE3	union	43.8	0.447213595499958	3140.4	2.60768096208106	86.6	2.60768096208106	50.2	0.447213595499958	0.465957446808511	0.00475759144148892	0.0268360706538581	0.000808082107865218	0.335976892096295	0.00513310290690856	0.390393763975506	0.00287416950302564	0.374982945484413	0.00269546852152645	0.82	0	82	0	2.33772698989805	0.103171857931895	0.521575263973114	0.0176771812906058	0.142707627410892	0.0225116811145411	0.629459019856472	0.00539033994405063	0.419047619047619	0.0398409536444798	0.612765957446808	0.0315582914344496	0.0994976728618622	0.0106261141853409	5.85620000000004	0.254758120577161	0.097603333333334	0.00424596867628602	0.00162672222222223	7.07661446047671e-05
GENIE3	vote	12	0.707106781186548	3227	0	0	0	82	0.707106781186548	0.127659574468085	0.00752241256581434	0	0	1	0	0.226351949349657	0.0118326323270752	0.352718098787671	0.0104437000858693	0.82	0	82	0	1.34996743282077	0.011954367603274	0.808380245507435	0.00137172090597204	0.119125866360703	0.0061184590748805	0.976202075771864	0.0075125926209352	0	0	0.127659574468085	0.00752241256581435	0	0	5.85620000000004	0.254758120577161	0.097603333333334	0.00424596867628602	0.00162672222222223	7.07661446047671e-05
GRNBoost2	early	37.4	5.45893762558247	3159.8	12.1326007104825	67.2	12.1326007104825	56.6	5.45893762558247	0.397872340425532	0.0580738045274731	0.020824295010846	0.00375971512565308	0.359462016914892	0.0346083747961359	0.375805500250759	0.0339408336891086	0.358181987992263	0.0356135100400195	0.82	0	82	0	2.1485773914163	0.152347353474658	0.595398984283369	0.0404465251014203	0.154840583317981	0.0271545526070561	0.682450528482025	0.0652314353920612	0.79047619047619	0.0542940678618637	0.836170212765957	0.10812405061508	0.193564326897445	0.0263637745414712	2.22439999999996	0.0905610291461343	0.0370733333333326	0.00150935048576891	0.000617888888888877	2.51558414294817e-05
GRNBoost2	inet	40.6	3.50713558335004	3094.8	9.338094023943	132.2	9.338094023943	53.4	3.50713558335004	0.431914893617021	0.0373099530143621	0.0409668422683607	0.00289373846419058	0.235032561511715	0.0146942433993414	0.304177846123938	0.0198531465214472	0.291874178601973	0.0224025703403156	0.82	0	82	0	2.63388223226895	0.0295668389409367	0.458489717063767	0.0259827664819527	0.0848299179814592	0.0155525011799906	0.513929811084118	0.0224683155341133	0.438095238095238	0.108588135723727	0.161702127659574	0.12045259450824	0.15115222712467	0.0352131617428067	6.4232	0.942158001611195	0.107053333333333	0.0157026333601866	0.00178422222222222	0.00026171055600311
GRNBoost2	union	40.6	3.50713558335004	3094.8	9.338094023943	132.2	9.338094023943	53.4	3.50713558335004	0.431914893617021	0.0373099530143621	0.0409668422683607	0.00289373846419058	0.235032561511715	0.0146942433993414	0.304177846123938	0.0198531465214472	0.291874178601973	0.0224025703403156	0.82	0	82	0	2.58324541072022	0.0797028084087865	0.471623159665871	0.0344989865785703	0.100203248672055	0.0242291393622434	0.506416145414924	0.0115241095242246	0.447619047619048	0.119522860933439	0.161702127659574	0.12045259450824	0.15115222712467	0.0352131617428067	6.4232	0.942158001611195	0.107053333333333	0.0157026333601866	0.00178422222222222	0.00026171055600311
GRNBoost2	vote	6.8	2.16794833886788	3225.6	0.547722557505166	1.4	0.547722557505166	87.2	2.16794833886788	0.0723404255319149	0.0230632802007221	0.000433839479392625	0.000169731192285456	0.817135642135642	0.096946617205034	0.132493060744436	0.0398094663802577	0.237215901090833	0.0509806122697405	0.82	0	82	0	1.46748085859053	0.0469300036804002	0.79357194911772	0.00589478006034107	0.0676260882824912	0.0214140496445339	0.930760163039008	0.0981539880089249	0	0	0.0872340425531915	0.0204631745336929	NA	NA	6.4232	0.942158001611195	0.107053333333333	0.0157026333601866	0.00178422222222222	0.00026171055600311
JRF	inet	42.6	1.67332005306815	3139.2	7.91833315793166	87.8	7.91833315793166	51.4	1.67332005306815	0.453191489361702	0.0178012771602995	0.027207933064766	0.00245377538206745	0.327398831096664	0.0150841577195215	0.379812685163857	0.0108650784392524	0.363992210451185	0.0108095251093234	0.82	0	82	0	2.33459372405968	0.0915177824613044	0.537030630412573	0.0234254417326178	0.141292058826545	0.0282522708757115	0.651556607804211	0.0286775188405486	0.504761904761905	0.0722178613719195	0.612765957446808	0.096216332379532	0.158092026261152	0.0289177494512698	10.4923999999999	0.0307294646878312	0.174873333333332	0.000512157744797179	0.00291455555555554	8.53596241328636e-06
JRF	union	42.6	1.67332005306815	3139.2	7.91833315793166	87.8	7.91833315793166	51.4	1.67332005306815	0.453191489361702	0.0178012771602995	0.027207933064766	0.00245377538206745	0.327398831096664	0.0150841577195215	0.379812685163857	0.0108650784392524	0.363992210451185	0.0108095251093234	0.82	0	82	0	2.31321371529821	0.154310807468943	0.538762504614548	0.0402935196443097	0.144618742100518	0.0420713283388997	0.648357655615874	0.0306502155165389	0.495238095238095	0.0865042958313569	0.612765957446808	0.096216332379532	0.158092026261152	0.0289177494512698	10.4923999999999	0.0307294646878312	0.174873333333332	0.000512157744797179	0.00291455555555554	8.53596241328636e-06
JRF	vote	11	1.58113883008419	3227	0	0	0	83	1.58113883008419	0.117021276595745	0.0168206258519595	0	0	1	0	0.209198906386026	0.0269718535910877	0.337068112156521	0.0244510122723907	0.82	0	82	0	1.36559724663012	0.0288193820858487	0.806599658712902	0.00329426912957396	0.112083870014653	0.0167116452163804	0.984321388064147	0.00888954601780936	0	0	0.117021276595745	0.0168206258519595	0	0	10.4923999999999	0.0307294646878312	0.174873333333332	0.000512157744797179	0.00291455555555554	8.53596241328636e-06
