Interactor_A	Interactor_B	Score	type	org1	org2
1	TARDBP	TARDBP	1760	physical	Homo sapiens	Homo sapiens
2	AAR2	AAR2	1881	physical	Homo sapiens	Homo sapiens
3	AAR2	ECD	1230	physical	Homo sapiens	Homo sapiens
4	AAR2	EFTUD2	3144	physical	Homo sapiens	Homo sapiens
5	AAR2	NAMPT	328	physical	Homo sapiens	Homo sapiens
6	AAR2	PRPF6	407	physical	Homo sapiens	Homo sapiens
7	AAR2	PRPF8	5201	physical	Homo sapiens	Homo sapiens
8	AAR2	RUVBL1	956	physical	Homo sapiens	Homo sapiens
9	AAR2	RUVBL2	875	physical	Homo sapiens	Homo sapiens
10	AAR2	SNRNP200	5129	physical	Homo sapiens	Homo sapiens
11	AAR2	SNRNP40	482	physical	Homo sapiens	Homo sapiens
12	AAR2	TSSC4	302	physical	Homo sapiens	Homo sapiens
13	AAR2	XPOT	697	physical	Homo sapiens	Homo sapiens
14	CD2BP2	AAR2	326	physical	Homo sapiens	Homo sapiens
15	CD2BP2	ACAD11	2315	physical	Homo sapiens	Homo sapiens
16	CD2BP2	AQR	393	physical	Homo sapiens	Homo sapiens
17	CD2BP2	CD2BP2	1925	physical	Homo sapiens	Homo sapiens
18	CD2BP2	CWC22	353	physical	Homo sapiens	Homo sapiens
19	CD2BP2	DDX20	470	physical	Homo sapiens	Homo sapiens
20	CD2BP2	DDX23	1394	physical	Homo sapiens	Homo sapiens
21	CD2BP2	DDX46	321	physical	Homo sapiens	Homo sapiens
22	CD2BP2	DDX5	520	physical	Homo sapiens	Homo sapiens
23	CD2BP2	DHX15	722	physical	Homo sapiens	Homo sapiens
24	CD2BP2	DHX38	942	physical	Homo sapiens	Homo sapiens
25	CD2BP2	ECD	727	physical	Homo sapiens	Homo sapiens
26	CD2BP2	EFTUD2	2782	physical	Homo sapiens	Homo sapiens
27	CD2BP2	GEMIN4	323	physical	Homo sapiens	Homo sapiens
28	CD2BP2	GPATCH8	656	physical	Homo sapiens	Homo sapiens
29	CD2BP2	HNRNPUL1	666	physical	Homo sapiens	Homo sapiens
30	CD2BP2	KLHL36	588	physical	Homo sapiens	Homo sapiens
31	CD2BP2	KPNA1	353	physical	Homo sapiens	Homo sapiens
32	CD2BP2	NAA30	315	physical	Homo sapiens	Homo sapiens
33	CD2BP2	PLRG1	623	physical	Homo sapiens	Homo sapiens
34	CD2BP2	PPP1CA	1005	physical	Homo sapiens	Homo sapiens
35	CD2BP2	PPP1CB	908	physical	Homo sapiens	Homo sapiens
36	CD2BP2	PPP1CC	925	physical	Homo sapiens	Homo sapiens
37	CD2BP2	PRPF19	627	physical	Homo sapiens	Homo sapiens
