Interactor_A	Interactor_B	Score	type
1	Nanog	Mga	655	physical
2	Nanog	Kmt2b	332	physical
3	Nanog	Chd7	868	physical
4	Nanog	Csnk2a1	387	physical
5	Nanog	0610010K14Rik	380	physical
6	Nanog	Dffb	653	physical
7	Nanog	Sec16a	673	physical
8	Nanog	Etl4	324	physical
9	Nanog	Nanog	397	physical
10	Nanog	Sall4	2032	physical
11	Nanog	Esrrb	788	physical
12	Nanog	Nacc1	527	physical
13	Nanog	Nr0b1	712	physical
14	Nanog	Myef2	657	physical
15	Nanog	Sall1	1483	physical
16	Nanog	Zfp281	754	physical
17	Nanog	Arid3b	543	physical
18	Nanog	Smarca5	1019	physical
19	Nanog	Zfp462	783	physical
20	Nanog	Zfp219	441	physical
21	Nanog	Bptf	1523	physical
22	Nanog	Sall3	410	physical
23	Nanog	Zfp609	340	physical
24	Nanog	Bnc2	352	physical
25	Nanog	Arid5b	429	physical
26	Nanog	Mbd3	664	physical
27	Nanog	Gatad2a	1278	physical
28	Nanog	Gatad2b	942	physical
29	Nanog	Mta2	924	physical
30	Nanog	Mta3	737	physical
31	Nanog	Chd4	1902	physical
32	Nanog	Mta1	978	physical
33	Nanog	Trrap	1581	physical
34	Nanog	Ep400	797	physical
35	Nanog	Rnf2	356	physical
36	Nanog	Phc1	479	physical
37	Nanog	Cbx3	380	physical
38	Nanog	Sin3a	1036	physical
39	Nanog	Hcfc1	630	physical
40	Nanog	Tbl1xr1	697	physical
41	Nanog	Tbl1x	606	physical
42	Nanog	Kdm1a	720	physical
43	Nanog	Zmym2	480	physical
44	Nanog	Kmt2c	310	physical
45	Nanog	Morf4l1	424	physical
46	Nanog	Rcor2	452	physical
47	Nanog	Wiz	400	physical
48	Nanog	Cnot1	809	physical
49	Nanog	Tet1	587	physical
50	Nanog	Hira	316	physical
51	Nanog	Arid1a	527	physical
52	Nanog	Bcor	352	physical
53	Nanog	Wdr82	430	physical
54	Nanog	Supt6	407	physical
55	Nanog	Ints1	526	physical
56	Nanog	Akap8	815	physical
57	Nanog	Uchl5	310	physical
58	Nanog	Raly	381	physical
59	Nanog	Hnrnph2	2437	physical
60	Nanog	Ilf3	803	physical
61	Nanog	Dhx9	867	physical
62	Nanog	Zcchc8	359	physical
63	Nanog	Rfc4	461	physical
64	Nanog	Mad1l1	582	physical
65	Nanog	Gtse1	429	physical
66	Nanog	Sgol2	623	physical
67	Nanog	Msh6	481	physical
68	Nanog	Brca2	394	physical
69	Nanog	Dnaja1	458	physical
70	Nanog	Dcaf7	311	physical
71	Nanog	Zfr	530	physical
72	Nanog	Qser1	643	physical
73	Nanog	Elmsan1	349	physical
74	TARDBP	TARDBP	1760	physical
75	red1	mtl1	333.9805825	physical
76	mtl1	red1	310.9243697	physical
77	AAR2	AAR2	1881	physical
78	AAR2	ECD	1230	physical
79	AAR2	EFTUD2	3144	physical
80	AAR2	NAMPT	328	physical
81	AAR2	PRPF6	407	physical
82	AAR2	PRPF8	5201	physical
83	AAR2	RUVBL1	956	physical
84	AAR2	RUVBL2	875	physical
85	AAR2	SNRNP200	5129	physical
86	AAR2	SNRNP40	482	physical
87	AAR2	TSSC4	302	physical
88	AAR2	XPOT	697	physical
89	CD2BP2	AAR2	326	physical
90	CD2BP2	ACAD11	2315	physical
91	CD2BP2	AQR	393	physical
92	CD2BP2	CD2BP2	1925	physical
93	CD2BP2	CWC22	353	physical
94	CD2BP2	DDX20	470	physical
95	CD2BP2	DDX23	1394	physical
96	CD2BP2	DDX46	321	physical
97	CD2BP2	DDX5	520	physical
98	CD2BP2	DHX15	722	physical
99	CD2BP2	DHX38	942	physical
100	CD2BP2	ECD	727	physical
101	CD2BP2	EFTUD2	2782	physical
102	CD2BP2	GEMIN4	323	physical
103	CD2BP2	GPATCH8	656	physical
104	CD2BP2	HNRNPUL1	666	physical
105	CD2BP2	KLHL36	588	physical
106	CD2BP2	KPNA1	353	physical
107	CD2BP2	NAA30	315	physical
108	CD2BP2	PLRG1	623	physical
109	CD2BP2	PPP1CA	1005	physical
110	CD2BP2	PPP1CB	908	physical
111	CD2BP2	PPP1CC	925	physical
112	CD2BP2	PRPF19	627	physical
113	CD2BP2	PRPF3	683	physical
114	CD2BP2	PRPF31	584	physical
115	CD2BP2	PRPF38B	443	physical
116	CD2BP2	PRPF4	909	physical
117	CD2BP2	PRPF4B	704	physical
118	CD2BP2	PRPF6	2423	physical
119	CD2BP2	PRPF8	5808	physical
120	CD2BP2	SART1	1633	physical
121	CD2BP2	SF3A1	586	physical
122	CD2BP2	SF3A3	387	physical
123	CD2BP2	SF3B1	1358	physical
124	CD2BP2	SF3B2	492	physical
125	CD2BP2	SF3B3	1087	physical
126	CD2BP2	SFPQ	454	physical
127	CD2BP2	SNRNP200	5068	physical
128	CD2BP2	SNRNP40	998	physical
129	CD2BP2	SNRNP70	535	physical
130	CD2BP2	SNRPA1	473	physical
131	CD2BP2	SNW1	346	physical
132	CD2BP2	SRRM1	494	physical
133	CD2BP2	SRRM2	1214	physical
134	CD2BP2	TUBG1	892	physical
135	CD2BP2	TUBGCP2	1366	physical
136	CD2BP2	TUBGCP3	1739	physical
137	CD2BP2	TUBGCP4	389	physical
138	CD2BP2	TUBGCP5	485	physical
139	CD2BP2	TUBGCP6	1124	physical
140	CD2BP2	U2SURP	537	physical
141	CD2BP2	USP39	1115	physical
142	CD2BP2	WBP11	368	physical
143	CD2BP2	ZNHIT2	455	physical
144	DDX59	DDX59	2488	physical
145	DDX59	HSP90AA1	1990	physical
146	DDX59	HSP90AB1	2029	physical
147	DDX59	HSPA8	1228	physical
148	DDX59	STIP1	560	physical
149	EAPP	AAR2	1361	physical
150	EAPP	AQR	702	physical
151	EAPP	CD2BP2	515	physical
152	EAPP	CDC5L	458	physical
153	EAPP	DDX23	1010	physical
154	EAPP	DHX38	1104	physical
155	EAPP	EAPP	618	physical
156	EAPP	ECD	2114	physical
157	EAPP	EFTUD2	5030	physical
158	EAPP	NCDN	755	physical
159	EAPP	PLRG1	472	physical
160	EAPP	PRPF19	877	physical
161	EAPP	PRPF6	3328	physical
162	EAPP	PRPF8	10376	physical
163	EAPP	RUVBL1	1149	physical
164	EAPP	RUVBL2	1271	physical
165	EAPP	SNRNP200	9990	physical
166	EAPP	SRRM2	738	physical
167	EAPP	TSSC4	576	physical
168	EAPP	ZNHIT2	812	physical
169	ECD	AAR2	672	physical
170	ECD	ECD	1181	physical
171	ECD	EFTUD2	2538	physical
172	ECD	NONO	506	physical
173	ECD	PARP1	433	physical
174	ECD	POLR1A	304	physical
175	ECD	PRPF8	4304	physical
176	ECD	SNRNP200	3911	physical
177	FBXO3	FBXO3	905	physical
178	INO80B	CHD1	455	physical
179	INO80B	DDX17	1115	physical
180	INO80B	DDX46	761	physical
181	INO80B	DDX5	872	physical
182	INO80B	DHX15	527	physical
183	INO80B	DHX30	459	physical
184	INO80B	DHX9	673	physical
185	INO80B	GNL2	856	physical
186	INO80B	GNL3	801	physical
187	INO80B	INO80B	1247	physical
188	INO80B	LUC7L2	718	physical
189	INO80B	MAP7D1	319	physical
190	INO80B	NPM1	354	physical
191	INO80B	RBM14	396	physical
192	INO80B	RBM39	504	physical
193	INO80B	RPL13	496	physical
194	INO80B	RPL18	481	physical
195	INO80B	RPL23A	303	physical
196	INO80B	RPL27A	351	physical
197	INO80B	RPL3	766	physical
198	INO80B	RPL4	1071	physical
199	INO80B	RPL6	901	physical
200	INO80B	RPL7	454	physical
201	INO80B	RPL7A	727	physical
202	INO80B	RPL8	636	physical
203	INO80B	RPLP0	417	physical
204	INO80B	RPS2	356	physical
205	INO80B	RPS3A	622	physical
206	INO80B	RPS8	786	physical
207	INO80B	RSL1D1	317	physical
208	INO80B	RUVBL1	464	physical
209	INO80B	RUVBL2	317	physical
210	INO80B	SCAF1	644	physical
211	INO80B	SCAF8	476	physical
212	INO80B	TSR1	407	physical
213	INO80B	BRD2	832	physical
214	INO80B	BRD3	630	physical
215	INO80B	BRD4	1614	physical
216	INO80B	INO80	877	physical
217	INO80B	POLR2A	315	physical
218	NCDN	AGPS	705	physical
219	NCDN	ALDH3A2	1058	physical
220	NCDN	ASAH1	443	physical
221	NCDN	ATP1A1	1193	physical
222	NCDN	ATP5A1	534	physical
223	NCDN	ATP5B	647	physical
224	NCDN	CLPTM1L	491	physical
225	NCDN	EHHADH	603	physical
226	NCDN	ESYT1	339	physical
227	NCDN	GOLGA5	734	physical
