Gene 1	Gene 2	Weight	Network group	Network
CD6	ARL4C	0.016587354	Co-expression	Bild-Nevins-2006 B
CD28	MBP	0.024730649	Co-expression	Bild-Nevins-2006 B
ARHGAP45	RASGRP2	0.009024447	Co-expression	Bild-Nevins-2006 B
IGF1R	FAM102A	0.014984448	Co-expression	Bild-Nevins-2006 B
GZMH	CD101	0.013150226	Co-expression	Bild-Nevins-2006 B
AIF1	GZMH	0.017258786	Co-expression	Bild-Nevins-2006 B
PLEKHG3	CASP2	0.009871344	Co-expression	Bild-Nevins-2006 B
C1orf21	AHNAK	0.010081954	Co-expression	Bild-Nevins-2006 B
SAMHD1	IL17RA	0.014370339	Co-expression	Bild-Nevins-2006 B
SERINC5	ZEB2	0.013078353	Co-expression	Bild-Nevins-2006 B
PASK	ZNF101	0.026049083	Co-expression	Bild-Nevins-2006 B
PASK	WDR37	0.025258388	Co-expression	Bild-Nevins-2006 B
FCGR3A	CD300A	0.011816752	Co-expression	Bild-Nevins-2006 B
CXCR3	ARL4C	0.021848062	Co-expression	Bild-Nevins-2006 B
CXCR3	CD6	0.018553108	Co-expression	Bild-Nevins-2006 B
CXCR3	ARHGAP45	0.009485353	Co-expression	Bild-Nevins-2006 B
SGSM3	TMEM63A	0.01426825	Co-expression	Bild-Nevins-2006 B
GZMB	GZMH	0.008676068	Co-expression	Bild-Nevins-2006 B
GZMB	AIF1	0.010586037	Co-expression	Bild-Nevins-2006 B
GZMB	SAMHD1	0.0070008314	Co-expression	Bild-Nevins-2006 B
GZMB	KLRD1	0.008704449	Co-expression	Bild-Nevins-2006 B
TCF7	ARHGAP45	0.009315689	Co-expression	Bild-Nevins-2006 B
CCR8	CCR4	0.018742507	Co-expression	Bild-Nevins-2006 B
RAP1GAP2	SGSM3	0.014434307	Co-expression	Bild-Nevins-2006 B
GLUL	C1orf21	0.006752146	Co-expression	Bild-Nevins-2006 B
CCR6	RASGRP2	0.024308143	Co-expression	Bild-Nevins-2006 B
APBA2	ARHGAP45	0.008558069	Co-expression	Bild-Nevins-2006 B
SELPLG	SYNE1	0.014659929	Co-expression	Bild-Nevins-2006 B
SELPLG	ARHGAP45	0.0061901677	Co-expression	Bild-Nevins-2006 B
SELPLG	KLRD1	0.012966443	Co-expression	Bild-Nevins-2006 B
BEX4	SH3YL1	0.02000293	Co-expression	Bild-Nevins-2006 B
BEX4	SERINC5	0.017635457	Co-expression	Bild-Nevins-2006 B
ABLIM1	SH3YL1	0.013988366	Co-expression	Bild-Nevins-2006 B
GNLY	KLRD1	0.015051187	Co-expression	Bild-Nevins-2006 B
GNLY	GZMB	0.014541512	Co-expression	Bild-Nevins-2006 B
MYO1F	SYNE1	0.011635308	Co-expression	Bild-Nevins-2006 B
MYO1F	ARL4C	0.014182317	Co-expression	Bild-Nevins-2006 B
MYO1F	CD6	0.012592711	Co-expression	Bild-Nevins-2006 B
MYO1F	ARHGAP45	0.0058755786	Co-expression	Bild-Nevins-2006 B
MYO1F	SELPLG	0.0128193945	Co-expression	Bild-Nevins-2006 B
TPST2	FCGR3A	0.014369226	Co-expression	Bild-Nevins-2006 B
TPST2	GZMB	0.010438365	Co-expression	Bild-Nevins-2006 B
