"","ACTN1","AIF1","APEX1","ARHGAP25","BIN2","BTLA","CCR7","CD14","CD19","CD2","CD27","CD28","CD300A","CD3D","CD3E","CD3G","CD4","CD5","CD52","CD6","CD69","CD8A","CD8B","CTLA4","EEF1B2","EEF2","EIF3E","EIF3L","EMP3","FCGR3A","FCGR3B","FCMR","FCRL3","FGFBP2","FGR","FLNA","GIMAP5","GIMAP8","GNLY","GPR183","GZMB","GZMH","GZMK","IFNG","IL10RA","IL17RA","IL2RA","IL2RB","IL7R","ITGAM","ITGB2","KLRB1","KLRD1","KLRF1","LGALS1","LTB","MYO1F","MYO1G","NKG7","NOP53","NPM1","PLEK","PRF1","PTPRC","RACK1","RPS5","RPS8","RSL1D1","S1PR5","SAMD3","SELL","SELPLG","STK10","TBX21","TIGIT","TOMM7","VCL","WDR43","ZNF683"
"ACTN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0
"AIF1",0,0,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APEX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,0,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTLA",0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCR7",0,0,0,0,0,0,0,0,0.457,0.432,0.417,0,0,0.414,0,0.448,0,0.774,0,0.447,0,0,0,0,0,0,0,0,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0.457,0,0,0,0,0,0,0.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD14",0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD19",0,0,0,0,0,0.45,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD2",0,0,0,0,0,0,0.432,0,0,0,0.472,0,0,0.827,0.846,0.81,0,0.554,0.588,0.718,0,0.802,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0.441,0,0.491,0,0.617,0.768,0.8,0,0.451,0,0,0.681,0.53,0,0,0.773,0,0,0,0.404,0,0,0.767,0,0,0,0.557,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
