#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIRC3	LTB	9606.ENSP00000263464	9606.ENSP00000410481	0	0	0	0	0.309	0	0.5	0.204	0.7
CD38	CD3E	9606.ENSP00000226279	9606.ENSP00000354566	0	0	0	0	0.161	0.292	0	0.536	0.7
CD38	SELL	9606.ENSP00000226279	9606.ENSP00000498227	0	0	0	0	0.14	0	0	0.666	0.7
CD38	MYC	9606.ENSP00000226279	9606.ENSP00000478887	0	0	0	0	0.083	0	0	0.687	0.7
CD3E	CD38	9606.ENSP00000354566	9606.ENSP00000226279	0	0	0	0	0.161	0.292	0	0.536	0.7
CD5	FOXP3	9606.ENSP00000342681	9606.ENSP00000365380	0	0	0	0	0.087	0	0	0.685	0.7
FOXP3	CD5	9606.ENSP00000365380	9606.ENSP00000342681	0	0	0	0	0.087	0	0	0.685	0.7
ITGAM	MBP	9606.ENSP00000496959	9606.ENSP00000380958	0	0	0	0	0.072	0	0	0.69	0.7
LTB	BIRC3	9606.ENSP00000410481	9606.ENSP00000263464	0	0	0	0	0.309	0	0.5	0.204	0.7
MBP	ITGAM	9606.ENSP00000380958	9606.ENSP00000496959	0	0	0	0	0.072	0	0	0.69	0.7
MYC	CD38	9606.ENSP00000478887	9606.ENSP00000226279	0	0	0	0	0.083	0	0	0.687	0.7
MYC	SLC2A1	9606.ENSP00000478887	9606.ENSP00000416293	0	0	0	0	0.073	0.124	0	0.661	0.7
PDCD1	TBX21	9606.ENSP00000335062	9606.ENSP00000177694	0	0	0	0	0.178	0	0	0.649	0.7
PDCD1	PRF1	9606.ENSP00000335062	9606.ENSP00000398568	0	0	0	0	0.165	0	0	0.655	0.7
PRF1	PDCD1	9606.ENSP00000398568	9606.ENSP00000335062	0	0	0	0	0.165	0	0	0.655	0.7
SELL	CD38	9606.ENSP00000498227	9606.ENSP00000226279	0	0	0	0	0.14	0	0	0.666	0.7
SLC2A1	MYC	9606.ENSP00000416293	9606.ENSP00000478887	0	0	0	0	0.073	0.124	0	0.661	0.7
TBX21	PDCD1	9606.ENSP00000177694	9606.ENSP00000335062	0	0	0	0	0.178	0	0	0.649	0.7
ACTN1	ITGA4	9606.ENSP00000377941	9606.ENSP00000380227	0	0	0	0	0.044	0	0.65	0.18	0.701
CD69	CXCR4	9606.ENSP00000228434	9606.ENSP00000386884	0	0	0	0	0.276	0	0	0.604	0.701
CXCR4	CD69	9606.ENSP00000386884	9606.ENSP00000228434	0	0	0	0	0.276	0	0	0.604	0.701
FLNA	MYC	9606.ENSP00000358866	9606.ENSP00000478887	0	0	0	0	0.081	0.216	0	0.619	0.701
HAVCR2	TBX21	9606.ENSP00000312002	9606.ENSP00000177694	0	0	0	0	0.135	0	0	0.668	0.701
ITGA4	ACTN1	9606.ENSP00000380227	9606.ENSP00000377941	0	0	0	0	0.044	0	0.65	0.18	0.701
ITGB2	RASGRP2	9606.ENSP00000380948	9606.ENSP00000338864	0	0	0	0	0.195	0	0	0.644	0.701
KLRB1	TBX21	9606.ENSP00000229402	9606.ENSP00000177694	0	0	0	0	0.266	0.045	0	0.608	0.701
MYC	FLNA	9606.ENSP00000478887	9606.ENSP00000358866	0	0	0	0	0.081	0.216	0	0.619	0.701
RASGRP2	ITGB2	9606.ENSP00000338864	9606.ENSP00000380948	0	0	0	0	0.195	0	0	0.644	0.701
TBX21	HAVCR2	9606.ENSP00000177694	9606.ENSP00000312002	0	0	0	0	0.135	0	0	0.668	0.701
TBX21	KLRB1	9606.ENSP00000177694	9606.ENSP00000229402	0	0	0	0	0.266	0.045	0	0.608	0.701
CD19	FAS	9606.ENSP00000313419	9606.ENSP00000498466	0	0	0	0	0	0	0	0.702	0.702
CD38	NT5E	9606.ENSP00000226279	9606.ENSP00000257770	0	0	0	0	0.042	0	0	0.702	0.702
EIF3E	NPM1	9606.ENSP00000220849	9606.ENSP00000296930	0	0	0	0	0.356	0.444	0	0.234	0.702
FAS	CD19	9606.ENSP00000498466	9606.ENSP00000313419	0	0	0	0	0	0	0	0.702	0.702
NPM1	EIF3E	9606.ENSP00000296930	9606.ENSP00000220849	0	0	0	0	0.356	0.444	0	0.234	0.702
NT5E	CD38	9606.ENSP00000257770	9606.ENSP00000226279	0	0	0	0	0.042	0	0	0.702	0.702
BTLA	CD19	9606.ENSP00000333919	9606.ENSP00000313419	0	0	0	0	0.45	0	0	0.482	0.703
CD19	BTLA	9606.ENSP00000313419	9606.ENSP00000333919	0	0	0	0	0.45	0	0	0.482	0.703
CD3D	IL2RB	9606.ENSP00000300692	9606.ENSP00000216223	0	0	0	0	0.398	0	0	0.528	0.703
CD8A	CX3CR1	9606.ENSP00000386559	9606.ENSP00000351059	0	0	0	0	0.138	0	0	0.67	0.703
CX3CR1	CD8A	9606.ENSP00000351059	9606.ENSP00000386559	0	0	0	0	0.138	0	0	0.67	0.703
FAS	IL7R	9606.ENSP00000498466	9606.ENSP00000306157	0	0	0.239	0	0.111	0	0	0.596	0.703
FCGR3A	HAVCR2	9606.ENSP00000356946	9606.ENSP00000312002	0	0	0	0	0.125	0.176	0	0.622	0.703
HAVCR2	FCGR3A	9606.ENSP00000312002	9606.ENSP00000356946	0	0	0	0	0.125	0.176	0	0.622	0.703
IL2RB	CD3D	9606.ENSP00000216223	9606.ENSP00000300692	0	0	0	0	0.398	0	0	0.528	0.703
IL7R	FAS	9606.ENSP00000306157	9606.ENSP00000498466	0	0	0.239	0	0.111	0	0	0.596	0.703
KLRD1	SELL	9606.ENSP00000338130	9606.ENSP00000498227	0	0	0	0	0.16	0	0	0.661	0.703
SELL	KLRD1	9606.ENSP00000498227	9606.ENSP00000338130	0	0	0	0	0.16	0	0	0.661	0.703
CCR7	IL17A	9606.ENSP00000246657	9606.ENSP00000497968	0	0	0	0	0	0	0	0.704	0.704
CD28	CD3D	9606.ENSP00000324890	9606.ENSP00000300692	0	0	0	0	0.428	0	0	0.503	0.704
CD3D	CD28	9606.ENSP00000300692	9606.ENSP00000324890	0	0	0	0	0.428	0	0	0.503	0.704
CD5	ITGA4	9606.ENSP00000342681	9606.ENSP00000380227	0	0	0	0	0.146	0	0	0.668	0.704
CXCR4	STAM	9606.ENSP00000386884	9606.ENSP00000366746	0	0	0	0	0	0.468	0	0.468	0.704
IL17A	CCR7	9606.ENSP00000497968	9606.ENSP00000246657	0	0	0	0	0	0	0	0.704	0.704
ITGA4	CD5	9606.ENSP00000380227	9606.ENSP00000342681	0	0	0	0	0.146	0	0	0.668	0.704
ITGB2	VCL	9606.ENSP00000380948	9606.ENSP00000211998	0	0	0	0	0.115	0.096	0	0.66	0.704
STAM	CXCR4	9606.ENSP00000366746	9606.ENSP00000386884	0	0	0	0	0	0.468	0	0.468	0.704
USP15	USP28	9606.ENSP00000280377	9606.ENSP00000003302	0	0	0	0	0.078	0.315	0	0.569	0.704
USP28	USP15	9606.ENSP00000003302	9606.ENSP00000280377	0	0	0	0	0.078	0.315	0	0.569	0.704
VCL	ITGB2	9606.ENSP00000211998	9606.ENSP00000380948	0	0	0	0	0.115	0.096	0	0.66	0.704
CD5	SELL	9606.ENSP00000342681	9606.ENSP00000498227	0	0	0	0	0.19	0	0	0.651	0.705
FAS	SELL	9606.ENSP00000498466	9606.ENSP00000498227	0	0	0	0	0.133	0	0	0.674	0.705
IL10RA	IL2RA	9606.ENSP00000227752	9606.ENSP00000369293	0	0	0	0	0.159	0	0	0.664	0.705
IL2RA	IL10RA	9606.ENSP00000369293	9606.ENSP00000227752	0	0	0	0	0.159	0	0	0.664	0.705
PRF1	TIGIT	9606.ENSP00000398568	9606.ENSP00000419085	0	0	0	0	0.251	0	0	0.622	0.705
SELL	CD5	9606.ENSP00000498227	9606.ENSP00000342681	0	0	0	0	0.19	0	0	0.651	0.705
SELL	FAS	9606.ENSP00000498227	9606.ENSP00000498466	0	0	0	0	0.133	0	0	0.674	0.705
TIGIT	PRF1	9606.ENSP00000419085	9606.ENSP00000398568	0	0	0	0	0.251	0	0	0.622	0.705
CD5	PDCD1	9606.ENSP00000342681	9606.ENSP00000335062	0	0	0	0	0.215	0	0	0.641	0.706
FOXP3	NT5E	9606.ENSP00000365380	9606.ENSP00000257770	0	0	0	0	0.085	0	0	0.692	0.706
IL2RB	PTPRC	9606.ENSP00000216223	9606.ENSP00000411355	0	0	0	0	0.271	0	0	0.612	0.706
NT5E	FOXP3	9606.ENSP00000257770	9606.ENSP00000365380	0	0	0	0	0.085	0	0	0.692	0.706
PDCD1	CD5	9606.ENSP00000335062	9606.ENSP00000342681	0	0	0	0	0.215	0	0	0.641	0.706
PTPRC	IL2RB	9606.ENSP00000411355	9606.ENSP00000216223	0	0	0	0	0.271	0	0	0.612	0.706
SYNE1	TTN	9606.ENSP00000356224	9606.ENSP00000467141	0	0	0	0	0.097	0.071	0	0.677	0.706
