,AIF1,CD11B,AOAH,ARHGAP25,ZNF101,CEP68,GLRX,COQ8A,GPR155,SELPLG,PDP1,RNF214,STK10,CORO7,ITFG2,FOXP3,PRSS23,SAMHD1,PRKCB,TNFSF8,ADRB2,MYO1G,LITAF,ADGRG1,VCL,STMN3,ZAP70,TRMT1,CD28,SLA,GAB3,TMEM123,GZMB,RASSF1,TSHZ2,PDK1,AGTPBP1,SVIL,CD5,FANK1,LEF1,LCK,MTSS1,SGSM3,UCHL1,DSTN,CD248,RASGRP2,TRAF3IP3,WDR43,PLEK,CLDND1,GLUT1,PDE3B,FCRL6,RTKN2,GIMAP2,CCM2,CD38,PATL2,CD8B,TBX21,GLTSCR2,LDHB,FKBP5,TTC16,RIC3,CX3CR1,NELL2,SCML4,CD127,ARHGEF18,RAP1GAP2,LGALS1,WDR37,GPR183,CD42b,BEX4,NOSIP,ADAM8,IL2RA,SNURF,CCR10,CD161,NPM1,GCSAM,SLCO4C1,TTN,SERINC5,FCRL3,RGS19,FAM102A,LMO7,TMEM204,C12orf75,SPON2,CCL5,GIMAP5,OXNAD1,ATP2B1,KCNAB2,SPINT2,CAMK4,EIF3L,CD19,TIGIT,Helios,C1orf21,LTB,LLGL2,FCMR,TRAT1,TMEM63A,KLRF1,ARHGAP45,VEZF1,B3GNT2,BIRC3,SRPK2,CD247,FAM117B,CD6,CAPN2,EIF3E,CD27,NDFIP1,CD62L,APBA2,PLEKHG3,MBP,TIM3,DGKA,FAM110A,GITR,TPCN1,FHIT,SH3BP5,TOMM7,ACTN1,CD3G,LILRB1,NOG,LDLRAP1,GIMAP8,CD3E,MYO1F,C1orf228,SPTBN1,CCR4,CD48,PASK,CTLA4,GZMA,RSL1D1,CD146,LRRC75A,IL-17,APEX1,CORO1A,CD39,PI16,IGF1R,SH3YL1,GLUL,IL17RA,CEP78,ABLIM1,CD101,FYB1,HAPLN3,TTC39C,USP28,OSBPL5,NT5E,CCR6,GK5,LPCAT1,EPHX2,CD272,FOXP1,FAM60A,AHNAK,PXN,SLC9A3R1,THEM4,CD122,TBC1D4,GZMK,CXCR3,ELK3,TM4SF19,F5,ITGAL,TRABD2A,CD57,CCDC141,ITK,UBQLN2,CD95,GNLY,CCR8,CD3D,PLEKHB1,CASP2,PRKCA,FCGR3B,SAMD3,CD71,FCGR3A,CPNE2,LCP2,CASP8,CD18,TLDC2,RCAN3,CORO7-PAM16,HPGD,C6orf48,CD31,BACH2,BIN2,IL2RG,PSIP1,SLC40A1,CD2,CXCR4,CD29,CMTM7,SYNE1,SNX20,CD45,ARL4C,SH2D1A,ATM,TTC38,MAML2,EEF1B2,BCL2,TPST2,LMNA,TESPA1,TCF7,TGFBR3,CD69,NPAT,CD56,MLXIP,IL10RA,IL-4,S1PR5,EXOSC8,ISG20,CD49D,R3HDM4,CD30,FGR,VIPR1,CD14,PIK3IP1,THAP7,TRAP1,C1orf162,FUT11,CD55,METTL7A,CA6,RPS5,TRIM16,TAGLN2,ZEB2,STAM,RACK1,LRRN3,TXK,EMP3,SATB1,FLNA,MYC,FGFBP2,CD52,RAP1B,KLRD1,CD4,MAL,CD8,RAP2B,PIK3R5,ZNF683,RNF166,USP15,GZMH,EFHD2,NKG7,PD-1,CD53,CD37,SNED1,CD197,PTPRCAP,ZNF600,CD300A,SMAP2,EEF2,RPS8
Cell_1,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,5,0,0,0,2,0,0,0,3,0,1,2,0,0,6,0,0,0,3,0,0,0,0,0,0,0,6,23,15,0,7,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,10,15,0,0,590,0,0,4,0,24,0,0,0,13,0,0,0,0,0,1,1,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,2,1,0,0,3,5,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,4,10,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,1,0,0,0,0,59,0,48,89,3,1,0,1,0,4,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,80,0,0,6,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,5,0,0,3,0,1,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,4,0,0,1,0,0,0,3,0,0,20,10,3,0,1
Cell_2,5,0,0,0,3,26,1,0,5,0,4,46,0,11,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,2,16,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,8,6,0,0,11,0,0,3,11,0,0,0,0,1,0,0,0,11,0,1,0,77,0,0,0,0,1,1,2,1,37,1,0,0,0,0,0,0,0,0,1,1,3,0,2,7,6,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,4,0,0,0,0,9,79,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,5,125,0,0,0,0,5,0,0,12,1,0,0,22,0,64,0,0,0,0,0,0,1,0,9,1,63,2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,5,0,0,0,30,12,0,0,0,0,0,5,84,0,0,0,0,0,0,2,1,1,1,0,0,11,2,3,0,0,33,0,0,2,0,0,8,0,5,0,0,5,0,0,51,0,4,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,44,0,0,4,2,0,0,2,0,0,0,0,0,10,6,18,0,3
Cell_3,2,0,0,0,1,2,0,0,34,0,0,13,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,1,1,0,0,0,1,0,7,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,0,0,4,0,0,0,0,5,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,11,1,0,0,1,0,45,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,9,8,0,0,0,1,0,25,0,0,6,0,0,0,0,0,2,0,0,2,1,0,36,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,3,2,11,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,0,0,0,0,0,0,0,11,1,1,0,0,0,5,0,0,0,0,0,10,4,0,0,0,87,0,0,0,0,3,0,4,1,0,0,3,0,3,4,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,1,0,0,0,4,1,0,1,0,21,0,17
Cell_4,0,0,0,0,0,86,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,2,0,4,0,0,0,0,3,1,0,2,0,1,0,1,0,8,3,0,1,0,1,0,0,0,0,2,5,0,0,7,6,2,0,57,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,24,2,2,0,0,0,0,0,0,0,0,1,97,2,1,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,32,0,0,62,0,0,0,0,1,0,0,0,69,0,0,1,0,0,0,4,0,3,0,0,16,0,0,0,12,0,0,0,0,0,10,2,0,6,3,0,0,21,0,0,0,3,2,0,0,0,0,6,0,0,0,0,0,0,0,5,25,0,0,0,0,6,14,0,0,0,1,0,0,0,0,2,7,0,0,0,27,0,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,0,0,2,7,1,1,0,0,67,0,0,0,0,4,5,0,8,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,13,4,9,0,1,0,0,0,0,1,0,0,0,0,0,54,0,0,2
Cell_5,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,2,0,0,1,5,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,2,0,5,6,0,0,1,0,0,8,0,21,1,0,0,0,0,1,0,0,0,0,0,0,0,5,10,1,0,0,0,0,0,0,1,0,1,0,3,8,0,0,5,2,0,1,0,0,1,2,2,6,0,0,0,0,0,0,0,0,3,1,1,0,0,3,0,10,0,0,0,0,2,20,8,3,0,0,0,0,0,2,1,0,0,7,0,1,0,13,0,0,33,0,592,1,0,0,0,0,0,0,0,43,0,0,0,0,0,1,0,1,0,70,7,36,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,7,0,4,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,14,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,9,0,0,1,0,0,0,0,0,10,0,0,8,2,0,0,120
Cell_6,0,0,0,0,20,4,2,0,0,1,1,44,0,0,0,0,7,0,0,1,0,4,0,1,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,123,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,10,12,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,11,2,0,0,0,0,0,2,0,0,0,4,0,8,0,0,6,0,0,0,0,0,0,0,0,1,0,7,0,2,0,0,0,0,1,1,0,0,0,0,0,0,10,0,1,1,0,0,0,3,0,7,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,468,0,0,1,0,0,0,4,7,119,0,0,0,4,0,0,0,4,9,0,0,14,0,1,0,0,2,0,0,0,0,0,4,0,1,1,0,0,0,0,4,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,12,82,1,0,1,0,0,0,0,0,0,1,0,1,49,51,0,0,0
Cell_7,0,2,0,1,6,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,17,0,32,3,0,0,8,0,0,2,1,0,1,0,0,24,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,8,0,2,0,0,0,12,1,3,3,0,0,1,0,3,0,6,0,0,0,0,0,0,0,1,1,0,16,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,45,0,0,11,1,0,0,0,0,0,0,1,16,0,0,0,0,71,0,1,0,5,0,0,0,0,108,0,0,8,0,0,0,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,13,5,5,0,0,0,0,2,0,0,0,0,1,0,24,0,0,5,0,0,3,53,0,0,0,498,2,1,0,0,0,0,0,3,61,0,1,0,0,0,0,0,30,0,0,0,0,8,1,1,0,12,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,11,0,0,0,0,0,1,0,0,1,0,0,0,8,97,0,0
Cell_8,0,0,1,0,25,39,0,0,0,0,0,7,0,7,0,0,0,3,0,6,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,3,0,0,0,0,5,0,0,13,3,1,0,6,0,9,11,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,28,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,9,0,6,0,0,13,42,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,7,3,67,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,69,312,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25,5,0,2,8,0,0,1,0,0,0,0,49,0,1,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,1,16,0,0,0,3,0,0,0,0,1,3,1,0,0,83,0,0,0,0,2,0,2,0,0,0,6,1,0,0,1,0,0,0,124,2,2,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,7,14,0,0,1,0,0,0,0,0,0,1,0,0,0,23,19,0,2
Cell_9,0,0,0,0,1,50,0,19,2,0,0,0,0,1,0,0,34,0,0,0,0,4,0,2,0,0,0,0,4,0,11,0,1,0,29,0,4,0,0,0,1,0,0,5,0,1,7,4,0,0,1,14,1,1,0,1,0,0,0,0,0,3,0,0,0,0,22,0,0,18,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,36,4,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,5,0,0,13,3,1025,0,0,0,0,1,0,0,0,0,0,1,339,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,3,0,32,0,12,0,1,1,0,0,0,0,0,45,0,0,2,0,0,0,0,1,0,0,1,0,0,3,8,0,0,0,0,0,0,1,24,0,0,10,0,0,146,0,0,0,0,3,0,1,0,0,2,4,0,4,0,0,0,0,4,9,0,0,1,0,0,7,0,55,0,0,0,3,0,1,1,0,0,1,0,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,1,0,0,2,0,0,9,0,0,0,69,0,0,28
Cell_10,4,0,0,0,26,3,2,0,11,0,12,1,0,1,0,0,0,8,1,0,0,0,0,4,0,0,0,2,0,0,0,3,0,2,0,0,0,1,0,0,5,0,8,5,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,39,0,0,0,2,0,0,0,0,0,9,0,0,24,0,8,0,0,0,1,0,2,0,0,0,0,0,4,5,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,5,2,0,12,0,0,0,0,0,0,0,3,0,0,28,0,0,0,0,1,1,0,2,0,29,8,0,1,0,0,0,0,1,0,2,3,0,1,11,0,0,0,0,4,0,2,1,0,1,0,0,23,0,0,0,5,0,0,0,0,1,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,2,0,0,4,7,1,0,0,0,6,0,0,0,0,0,0,0,2,25,0,0,0,0,39,0,0,1,0,0,0,0,69,0,0,0,0,1,0,0,1,0,0,0,12,0,0,0,0,86,1,0,0,0,4,4,0,0,0,0,0,2,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,14,9,1,0,1,0,0,0,0,0,0,0,0,3,21,11,1,1
