#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABLIM1	CASK	9606.ENSP00000277895	9606.ENSP00000494788	0	0	0	0	0.087	0.415	0	0	0.443
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0	0	0	0.100	0.105	0.900	0	0.912
ACTB	DSTN	9606.ENSP00000494750	9606.ENSP00000246069	0	0	0	0	0.122	0.873	0	0	0.883
ACTB	MYO1G	9606.ENSP00000494750	9606.ENSP00000258787	0	0	0	0	0.056	0.313	0.650	0	0.753
ACTB	ITGA2B	9606.ENSP00000494750	9606.ENSP00000262407	0	0	0	0	0.046	0	0.900	0	0.900
ACTB	MCAM	9606.ENSP00000494750	9606.ENSP00000264036	0	0	0	0	0.042	0.046	0.400	0	0.403
ACTB	ITGA1	9606.ENSP00000494750	9606.ENSP00000282588	0	0	0	0	0	0	0.650	0	0.650
ACTB	NCR1	9606.ENSP00000494750	9606.ENSP00000291890	0	0	0	0	0	0	0.540	0	0.540
ACTB	ITGA2	9606.ENSP00000494750	9606.ENSP00000296585	0	0	0	0	0.056	0	0.650	0	0.655
ACTB	CASP3	9606.ENSP00000494750	9606.ENSP00000311032	0	0	0	0	0.042	0.095	0.900	0	0.905
ACTB	SVIL	9606.ENSP00000494750	9606.ENSP00000348128	0	0	0	0	0.042	0.423	0	0	0.423
ACTB	TAGLN2	9606.ENSP00000494750	9606.ENSP00000357076	0	0	0	0	0.295	0.479	0	0	0.617
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0	0	0	0.134	0.402	0.900	0	0.943
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0	0	0.084	0.077	0.900	0	0.908
ACTB	ITGA4	9606.ENSP00000494750	9606.ENSP00000380227	0	0	0	0	0.053	0.052	0.650	0	0.658
ACTB	ITGA6	9606.ENSP00000494750	9606.ENSP00000386896	0	0	0	0	0.046	0	0.650	0	0.652
ACTB	PRKCA	9606.ENSP00000494750	9606.ENSP00000408695	0	0	0	0	0.047	0.162	0.900	0	0.913
ACTB	RACK1	9606.ENSP00000494750	9606.ENSP00000426909	0	0	0	0	0.223	0.270	0	0	0.409
ACTB	MYC	9606.ENSP00000494750	9606.ENSP00000478887	0	0	0	0	0.065	0.421	0	0	0.436
ACTB	MYO1F	9606.ENSP00000494750	9606.ENSP00000494550	0	0	0	0	0.047	0.109	0.650	0	0.676
ACTN1	VCL	9606.ENSP00000377941	9606.ENSP00000211998	0	0	0	0	0.447	0.912	0.900	0	0.994
ACTN1	ITGA2B	9606.ENSP00000377941	9606.ENSP00000262407	0	0	0	0	0.054	0	0.650	0	0.654
ACTN1	MCAM	9606.ENSP00000377941	9606.ENSP00000264036	0	0	0	0	0.063	0.045	0.400	0	0.416
ACTN1	ITGA1	9606.ENSP00000377941	9606.ENSP00000282588	0	0	0	0	0.049	0	0.650	0	0.652
ACTN1	ITGA2	9606.ENSP00000377941	9606.ENSP00000296585	0	0	0	0	0.062	0	0.650	0	0.657
ACTN1	SPTBN1	9606.ENSP00000377941	9606.ENSP00000349259	0	0	0	0.793	0.067	0.094	0.400	0	0.448
ACTN1	EFHD2	9606.ENSP00000377941	9606.ENSP00000365147	0	0	0	0	0.075	0	0.400	0	0.421
ACTN1	LMO7	9606.ENSP00000377941	9606.ENSP00000366757	0	0	0	0	0	0	0.900	0	0.900
