#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTN1	VCL	9606.ENSP00000377941	9606.ENSP00000211998	0	0	0	0	0.447	0	0	0	0.447
AIF1	CD52	9606.ENSP00000365227	9606.ENSP00000363330	0	0	0	0	0.422	0	0	0	0.422
AIF1	CD14	9606.ENSP00000365227	9606.ENSP00000385519	0	0	0	0	0.408	0	0	0	0.408
AIF1	ITGB2	9606.ENSP00000365227	9606.ENSP00000380948	0	0	0	0	0.581	0	0	0	0.581
APEX1	RPS5	9606.ENSP00000216714	9606.ENSP00000472985	0	0	0	0	0.443	0	0	0	0.443
ARHGAP25	IL10RA	9606.ENSP00000386911	9606.ENSP00000227752	0	0	0	0	0.405	0	0	0	0.405
ARHGAP25	PLEK	9606.ENSP00000386911	9606.ENSP00000234313	0	0	0	0.571	0.440	0	0	0	0.440
ARHGAP25	FGR	9606.ENSP00000386911	9606.ENSP00000363117	0	0	0	0	0.401	0	0	0	0.401
ARHGAP25	PTPRC	9606.ENSP00000386911	9606.ENSP00000411355	0	0	0	0	0.487	0	0	0	0.487
BIN2	PLEK	9606.ENSP00000498807	9606.ENSP00000234313	0	0	0	0	0.440	0	0	0	0.440
BIN2	PTPRC	9606.ENSP00000498807	9606.ENSP00000411355	0	0	0	0	0.426	0	0	0	0.426
BTLA	CD19	9606.ENSP00000333919	9606.ENSP00000313419	0	0	0	0	0.450	0	0	0	0.450
CCR7	FCMR	9606.ENSP00000246657	9606.ENSP00000356058	0	0	0	0	0.431	0	0	0	0.431
CCR7	CD6	9606.ENSP00000246657	9606.ENSP00000323280	0	0	0	0	0.447	0	0	0	0.447
CCR7	CD3G	9606.ENSP00000246657	9606.ENSP00000431445	0	0	0	0	0.448	0	0	0	0.448
CCR7	CD3D	9606.ENSP00000246657	9606.ENSP00000300692	0	0	0	0	0.414	0	0	0	0.414
CCR7	IL2RA	9606.ENSP00000246657	9606.ENSP00000369293	0	0	0	0	0.468	0	0	0	0.468
CCR7	LTB	9606.ENSP00000246657	9606.ENSP00000410481	0	0	0	0	0.503	0	0	0	0.503
CCR7	CD2	9606.ENSP00000246657	9606.ENSP00000358490	0	0	0	0	0.432	0	0	0	0.432
CCR7	CD19	9606.ENSP00000246657	9606.ENSP00000313419	0	0	0	0	0.457	0	0	0	0.457
CCR7	CD5	9606.ENSP00000246657	9606.ENSP00000342681	0	0	0	0	0.774	0	0	0	0.774
CCR7	IL7R	9606.ENSP00000246657	9606.ENSP00000306157	0	0	0	0	0.457	0	0	0	0.457
CCR7	CD27	9606.ENSP00000246657	9606.ENSP00000266557	0	0	0	0	0.417	0	0	0	0.417
CD14	FCGR3A	9606.ENSP00000385519	9606.ENSP00000356946	0	0	0	0	0.430	0	0	0	0.430
CD14	FGR	9606.ENSP00000385519	9606.ENSP00000363117	0	0	0	0	0.422	0	0	0	0.422
CD14	AIF1	9606.ENSP00000385519	9606.ENSP00000365227	0	0	0	0	0.408	0	0	0	0.408
CD14	ITGB2	9606.ENSP00000385519	9606.ENSP00000380948	0	0	0	0	0.495	0	0	0	0.495
