#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABLIM1	CASK	9606.ENSP00000277895	9606.ENSP00000494788	0	0	0	0	0.087	0.415	0	0	0.443
ACIN1	LSM7	9606.ENSP00000262710	9606.ENSP00000252622	0	0	0	0	0.083	0	0.400	0	0.426
ACIN1	ANKRD11	9606.ENSP00000262710	9606.ENSP00000301030	0	0	0	0	0.431	0.045	0	0	0.433
ACIN1	DDX23	9606.ENSP00000262710	9606.ENSP00000310723	0	0	0	0	0.280	0.221	0	0	0.415
ACIN1	SON	9606.ENSP00000262710	9606.ENSP00000348984	0	0	0.215	0	0.183	0.205	0	0	0.445
ACIN1	GON4L	9606.ENSP00000262710	9606.ENSP00000357315	0	0	0	0	0.525	0	0	0	0.525
ACIN1	SNRNP70	9606.ENSP00000262710	9606.ENSP00000472998	0	0	0	0	0.439	0.165	0.400	0	0.694
ACIN1	SRPK2	9606.ENSP00000262710	9606.ENSP00000377262	0	0	0	0	0.055	0.761	0	0	0.764
ACIN1	CASP3	9606.ENSP00000262710	9606.ENSP00000311032	0	0	0	0	0.047	0.068	0.750	0	0.758
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0	0	0	0.100	0.105	0.900	0	0.912
ACTB	TMSB10	9606.ENSP00000494750	9606.ENSP00000233143	0	0	0	0	0.373	0.232	0	0	0.498
ACTB	H4C6	9606.ENSP00000494750	9606.ENSP00000244537	0	0	0	0	0.054	0.867	0.400	0	0.918
ACTB	DSTN	9606.ENSP00000494750	9606.ENSP00000246069	0	0	0	0	0.122	0.873	0	0	0.883
ACTB	MYO1G	9606.ENSP00000494750	9606.ENSP00000258787	0	0	0	0	0.056	0.313	0.650	0	0.753
ACTB	ITGA2B	9606.ENSP00000494750	9606.ENSP00000262407	0	0	0	0	0.046	0	0.900	0	0.900
ACTB	COTL1	9606.ENSP00000494750	9606.ENSP00000262428	0	0	0	0	0.115	0.359	0	0	0.409
ACTB	MCAM	9606.ENSP00000494750	9606.ENSP00000264036	0	0	0	0	0.042	0.046	0.400	0	0.403
ACTB	ITGA1	9606.ENSP00000494750	9606.ENSP00000282588	0	0	0	0	0	0	0.650	0	0.650
ACTB	NCR1	9606.ENSP00000494750	9606.ENSP00000291890	0	0	0	0	0	0	0.540	0	0.540
ACTB	ITGA2	9606.ENSP00000494750	9606.ENSP00000296585	0	0	0	0	0.056	0	0.650	0	0.655
ACTB	CASP3	9606.ENSP00000494750	9606.ENSP00000311032	0	0	0	0	0.042	0.095	0.900	0	0.905
ACTB	GNAI2	9606.ENSP00000494750	9606.ENSP00000312999	0	0	0	0	0.253	0.270	0	0	0.431
ACTB	BASP1	9606.ENSP00000494750	9606.ENSP00000319281	0	0	0	0	0.074	0	0.400	0	0.420
ACTB	WIPF2	9606.ENSP00000494750	9606.ENSP00000320924	0	0	0	0	0	0.250	0.500	0	0.609
ACTB	ZYX	9606.ENSP00000494750	9606.ENSP00000324422	0	0	0	0	0.143	0.124	0.900	0	0.918
ACTB	FMNL1	9606.ENSP00000494750	9606.ENSP00000329219	0	0	0	0	0.054	0.051	0.500	0	0.511
ACTB	FMNL3	9606.ENSP00000494750	9606.ENSP00000335655	0	0	0	0	0	0.051	0.500	0	0.505
ACTB	CAV1	9606.ENSP00000494750	9606.ENSP00000339191	0	0	0	0	0.085	0.469	0.400	0	0.683
ACTB	SMARCA4	9606.ENSP00000494750	9606.ENSP00000343896	0	0	0	0	0.062	0.982	0.650	0	0.993
ACTB	DPF1	9606.ENSP00000494750	9606.ENSP00000347716	0	0	0	0	0.055	0	0.540	0	0.546
ACTB	SVIL	9606.ENSP00000494750	9606.ENSP00000348128	0	0	0	0	0.042	0.423	0	0	0.423
ACTB	TAGLN2	9606.ENSP00000494750	9606.ENSP00000357076	0	0	0	0	0.295	0.479	0	0	0.617
ACTB	GRB2	9606.ENSP00000494750	9606.ENSP00000376345	0	0	0	0	0.082	0.363	0.500	0	0.682
ACTB	EVL	9606.ENSP00000494750	9606.ENSP00000376652	0	0	0	0	0.057	0	0.900	0	0.901
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0	0	0	0.134	0.402	0.900	0	0.943
ACTB	VDAC1	9606.ENSP00000494750	9606.ENSP00000378487	0	0	0	0	0.164	0.342	0	0	0.427
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0	0	0.084	0.077	0.900	0	0.908
ACTB	ITGA4	9606.ENSP00000494750	9606.ENSP00000380227	0	0	0	0	0.053	0.052	0.650	0	0.658
ACTB	ITGA6	9606.ENSP00000494750	9606.ENSP00000386896	0	0	0	0	0.046	0	0.650	0	0.652
ACTB	PRKCA	9606.ENSP00000494750	9606.ENSP00000408695	0	0	0	0	0.047	0.162	0.900	0	0.913
ACTB	RACK1	9606.ENSP00000494750	9606.ENSP00000426909	0	0	0	0	0.223	0.270	0	0	0.409
ACTB	PFDN5	9606.ENSP00000494750	9606.ENSP00000447942	0	0	0	0	0.049	0.099	0.500	0	0.534
ACTB	MSL1	9606.ENSP00000494750	9606.ENSP00000462945	0	0	0	0	0.047	0.103	0.900	0	0.907
ACTB	MYC	9606.ENSP00000494750	9606.ENSP00000478887	0	0	0	0	0.065	0.421	0	0	0.436
ACTB	CYFIP2	9606.ENSP00000494750	9606.ENSP00000479719	0	0	0	0	0.067	0.071	0.500	0	0.528
ACTB	MYO1F	9606.ENSP00000494750	9606.ENSP00000494550	0	0	0	0	0.047	0.109	0.650	0	0.676
ACTB	RPS27	9606.ENSP00000494750	9606.ENSP00000499044	0	0	0	0	0.104	0.453	0	0	0.489
ACTB	INO80	9606.ENSP00000494750	9606.ENSP00000497609	0	0	0	0	0.042	0.473	0.800	0	0.890
ACTN1	VCL	9606.ENSP00000377941	9606.ENSP00000211998	0	0	0	0	0.447	0.912	0.900	0	0.994
ACTN1	ITGA2B	9606.ENSP00000377941	9606.ENSP00000262407	0	0	0	0	0.054	0	0.650	0	0.654
ACTN1	MCAM	9606.ENSP00000377941	9606.ENSP00000264036	0	0	0	0	0.063	0.045	0.400	0	0.416
ACTN1	CACNA1C	9606.ENSP00000377941	9606.ENSP00000266376	0	0	0	0	0.103	0.926	0	0	0.930
ACTN1	ITGA1	9606.ENSP00000377941	9606.ENSP00000282588	0	0	0	0	0.049	0	0.650	0	0.652
ACTN1	ITGA2	9606.ENSP00000377941	9606.ENSP00000296585	0	0	0	0	0.062	0	0.650	0	0.657
ACTN1	BASP1	9606.ENSP00000377941	9606.ENSP00000319281	0	0	0	0	0.078	0	0.400	0	0.423
ACTN1	ZYX	9606.ENSP00000377941	9606.ENSP00000324422	0	0	0	0	0.357	0.501	0.900	0	0.965
ACTN1	CAV1	9606.ENSP00000377941	9606.ENSP00000339191	0	0	0	0	0.226	0	0.400	0	0.515
ACTN1	SPTBN1	9606.ENSP00000377941	9606.ENSP00000349259	0	0	0	0.793	0.067	0.094	0.400	0	0.448
ACTN1	SDC4	9606.ENSP00000377941	9606.ENSP00000361818	0	0	0	0	0.068	0	0.700	0	0.708
ACTN1	EFHD2	9606.ENSP00000377941	9606.ENSP00000365147	0	0	0	0	0.075	0	0.400	0	0.421
ACTN1	LMO7	9606.ENSP00000377941	9606.ENSP00000366757	0	0	0	0	0	0	0.900	0	0.900
ACTN1	TPM2	9606.ENSP00000377941	9606.ENSP00000496494	0	0	0	0	0.240	0.268	0	0	0.420
ACTN1	ITGA4	9606.ENSP00000377941	9606.ENSP00000380227	0	0	0	0	0.044	0	0.650	0	0.651
ACTN1	ITGA6	9606.ENSP00000377941	9606.ENSP00000386896	0	0	0	0	0.067	0	0.650	0	0.659
ACTN1	TTN	9606.ENSP00000377941	9606.ENSP00000467141	0	0	0	0	0.083	0.649	0	0	0.664
ACTN1	ITGB1	9606.ENSP00000377941	9606.ENSP00000379350	0	0	0	0	0.174	0.328	0.900	0	0.939
ACTN1	ACTB	9606.ENSP00000377941	9606.ENSP00000494750	0	0	0	0	0.134	0.402	0.900	0	0.943
ADAM19	TSC22D1	9606.ENSP00000257527	9606.ENSP00000397435	0	0	0	0	0	0.479	0	0	0.479
